,mileage,manufacturer,fuel,gear,offer_type,price,hp,age_of_car,place_of_origin,price_category_userdef
79,28238,Opel,Gasoline,Manual,Used,10190,140.0,6,Germany,Moderate
80,114327,Opel,Diesel,Automatic,Used,10200,131.0,6,Germany,Moderate
81,80575,Volkswagen,Diesel,Manual,Used,10299,105.0,6,Germany,Moderate
82,79987,Ford,Gasoline,Automatic,Used,10444,105.0,6,others,Moderate
83,166554,Skoda,Diesel,Manual,Used,10490,170.0,6,others,Moderate
84,47295,Ford,Gasoline,Manual,Used,10490,101.0,6,others,Moderate
85,90000,Opel,Diesel,Manual,Used,10499,170.0,6,Germany,Moderate
86,76800,other,Gasoline,Manual,Used,10580,110.0,6,others,Moderate
87,60000,other,Gasoline,Manual,Used,10750,110.0,6,others,Moderate
88,9500,Hyundai,Gasoline,Manual,Used,10750,125.0,6,others,Moderate
89,248000,other,Diesel,Automatic,Used,10900,170.0,6,others,Moderate
90,118000,Volkswagen,Diesel,Manual,Used,10950,150.0,6,Germany,Moderate
91,87000,Volkswagen,Gasoline,Manual,Used,10950,110.0,6,Germany,Moderate
92,137000,BMW,Diesel,Manual,Used,10950,116.0,6,Germany,Moderate
189,100,other,Gasoline,Manual,Pre-registered,10600,69.0,0,others,Moderate
190,15,other,Electric/Gasoline,Manual,Pre-registered,10680,69.0,0,others,Moderate
191,20,other,Gasoline,Manual,Pre-registered,10823,72.0,0,others,Moderate
192,15,other,Electric/Gasoline,Manual,Pre-registered,10980,69.0,0,others,Moderate
193,10,other,Gasoline,Manual,Pre-registered,10997,72.0,0,others,Moderate
194,9,other,Gasoline,Manual,Pre-registered,11490,72.0,0,others,Moderate
195,100,Hyundai,Gasoline,Manual,Pre-registered,11499,67.0,0,others,Moderate
196,10,other,Gasoline,Manual,Pre-registered,11790,72.0,0,others,Moderate
197,10,other,Gasoline,Manual,Pre-registered,11950,84.0,0,others,Moderate
198,10,other,Gasoline,Manual,Pre-registered,11990,72.0,0,others,Moderate
332,6761,Volkswagen,Gasoline,Manual,Used,19490,125.0,3,Germany,Moderate
333,44626,Skoda,Gasoline,Manual,Used,19940,179.0,3,others,Moderate
334,35000,other,Gasoline,Manual,Used,19950,182.0,3,others,Moderate
366,23864,Ford,Gasoline,Manual,Employee's car,12970,95.0,1,others,Moderate
367,25885,Ford,Gasoline,Manual,Employee's car,12980,95.0,1,others,Moderate
368,19990,Ford,Gasoline,Manual,Employee's car,13330,95.0,1,others,Moderate
369,2438,SEAT,Gasoline,Manual,Demonstration,13950,80.0,1,others,Moderate
370,50,SEAT,Gasoline,Manual,Pre-registered,14490,95.0,1,others,Moderate
371,18805,Ford,Gasoline,Manual,Employee's car,14990,101.0,1,others,Moderate
372,9990,Ford,Gasoline,Manual,Employee's car,15490,101.0,1,others,Moderate
373,18365,Ford,Gasoline,Manual,Employee's car,15790,101.0,1,others,Moderate
374,23560,Ford,Gasoline,Manual,Employee's car,15880,125.0,1,others,Moderate
375,9990,Ford,Electric/Gasoline,Manual,Employee's car,15970,125.0,1,others,Moderate
376,6315,Ford,Electric/Gasoline,Manual,Employee's car,16450,125.0,1,others,Moderate
377,4246,other,Gasoline,Manual,Demonstration,16880,90.0,1,others,Moderate
378,11570,Ford,Diesel,Manual,Employee's car,19390,150.0,1,others,Moderate
379,7360,Ford,Diesel,Manual,Employee's car,19790,150.0,1,others,Moderate
380,5050,Ford,Diesel,Manual,Employee's car,19970,150.0,1,others,Moderate
381,8125,Ford,Diesel,Manual,Employee's car,19990,150.0,1,others,Moderate
382,50,Ford,Gasoline,Manual,Pre-registered,19990,125.0,1,others,Moderate
457,42000,Ford,Gasoline,Manual,Used,13790,120.0,5,others,Moderate
458,147000,BMW,Diesel,Manual,Used,13999,190.0,5,Germany,Moderate
459,88250,Opel,Diesel,Manual,Used,14390,136.0,5,Germany,Moderate
460,106000,Opel,Diesel,Automatic,Used,14750,170.0,5,Germany,Moderate
461,46100,Opel,Diesel,Manual,Used,14950,136.0,5,Germany,Moderate
462,52500,Opel,Diesel,Manual,Used,15250,136.0,5,Germany,Moderate
463,142000,BMW,Diesel,Automatic,Used,16490,258.0,5,Germany,Moderate
